area,perimeter,circularity
868.5,126.66904652118683,0.680203220521674
995.0,124.2253954410553,0.8102371816161072
966.0,127.05382239818573,0.7519890554938016
1061.0,139.05382251739502,0.689539872355416
901.5,131.2964631319046,0.6571576087791826
1171.0,138.2253955602646,0.7701779420210444
899.5,120.32590079307556,0.7807154761463342
933.5,125.154327750206,0.7489148509151413
971.0,137.88224959373474,0.6418187096111693
1237.5,160.46803617477417,0.6039180307453749
1195.5,151.2964631319046,0.6562992277822332
1461.5,150.9533168077469,0.8059783272682955
950.0,124.08326005935669,0.7753665814160474
911.0,122.22539532184601,0.7663114942491491
1043.0,126.56854128837585,0.8181682510690708
992.5,137.29646337032318,0.6616398869086458
993.5,123.98275446891785,0.8121853923507631
1020.0,126.56854140758514,0.800126188416525
561.5,105.69848418235779,0.6315708925691229
